"barcode_rank"	"total_counts"	"fitted"	"is_empty"
1	9817	NA	FALSE
2	6846	NA	FALSE
3	5125	NA	FALSE
4	5076	NA	FALSE
5	5059	NA	FALSE
6	4908	NA	FALSE
7	4716	NA	FALSE
8	4628	NA	FALSE
9	4338	NA	FALSE
10	4302	NA	FALSE
11	4159	NA	FALSE
12	4098	NA	FALSE
13	3998	NA	FALSE
14	3943	NA	FALSE
15	3921	NA	FALSE
16	3781	NA	FALSE
17	3719	NA	FALSE
18	3672	NA	FALSE
19	3671	NA	FALSE
20	3661	NA	FALSE
21	3639	NA	FALSE
22	3601	NA	FALSE
23	3586	NA	FALSE
24	3500	NA	FALSE
25	3481	NA	FALSE
26	3462	NA	FALSE
27	3433	NA	FALSE
28	3425	NA	FALSE
29	3394	NA	FALSE
30	3368	NA	FALSE
31	3356	NA	FALSE
32	3352	NA	FALSE
33	3349	NA	FALSE
34	3281	NA	FALSE
35	3280	NA	FALSE
36	3275	NA	FALSE
37	3226	NA	FALSE
38	3223	NA	FALSE
39	3208	NA	FALSE
40	3194	NA	FALSE
41	3175	NA	FALSE
42	3138	NA	FALSE
43	3133	NA	FALSE
44	3125	NA	FALSE
45	3081	NA	FALSE
46	3077	NA	FALSE
47	3068	NA	FALSE
48	3067	NA	FALSE
49	3048	NA	FALSE
50	3029	NA	FALSE
51	3016	NA	FALSE
52	2983	NA	FALSE
53	2942	NA	FALSE
54	2922	NA	FALSE
55	2898	NA	FALSE
56	2890	NA	FALSE
57	2876	NA	FALSE
58	2832	NA	FALSE
59	2821	NA	FALSE
60	2806	NA	FALSE
61	2803	NA	FALSE
62	2788	NA	FALSE
63.5	2774	NA	FALSE
63.5	2774	NA	FALSE
65	2762	NA	FALSE
66	2759	NA	FALSE
67	2747	NA	FALSE
68	2741	NA	FALSE
69	2738	NA	FALSE
70	2735	NA	FALSE
71	2723	NA	FALSE
72	2709	NA	FALSE
73	2660	NA	FALSE
74	2549	NA	FALSE
75	2530	NA	FALSE
76	2492	NA	FALSE
77	2482	2488.65839372811	FALSE
78	2481	2477.35639576654	FALSE
79	2473	2465.57026492278	FALSE
80	2446	2453.24268534446	FALSE
81	2445	2440.45485906853	FALSE
82	2427	2427.18341777859	FALSE
83	2421	2413.48992541858	FALSE
84	2396	2399.84298178643	FALSE
85	2377	2386.7040515043	FALSE
86	2374	2374.2373915888	FALSE
87	2360	2362.40518815638	FALSE
88	2354	2350.68552276814	FALSE
89	2347	2338.59309434621	FALSE
90	2338	2326.11988041113	FALSE
91	2305	2313.49951713421	FALSE
92	2291	2301.46877151417	FALSE
93	2278	2290.65591513564	FALSE
94	2277	2280.8037535081	FALSE
95	2276	2270.91771339527	FALSE
96	2274	2260.0382873375	FALSE
97	2259	2247.68192129947	FALSE
98	2236	2233.69804993196	FALSE
99	2211	2218.70411612193	FALSE
100	2203	2203.38575680372	FALSE
101	2197	2188.10860429825	FALSE
102	2167	2173.19281339305	FALSE
103	2156	2159.12555365204	FALSE
104	2137	2146.31016726793	FALSE
105	2131	2134.76152343229	FALSE
106	2122	2124.33686918564	FALSE
107.5	2116	2109.91258534339	FALSE
107.5	2116	2109.91258534339	FALSE
109	2102	2095.74450721101	FALSE
110	2094	2086.07407822318	FALSE
111	2086	2076.38027036049	FALSE
112	2055	2066.95425246653	FALSE
113	2050	2058.25078687389	FALSE
114	2044	2050.62345200913	FALSE
115	2039	2043.94971768733	FALSE
116	2038	2037.96378344305	FALSE
117	2033	2032.25921776828	FALSE
118	2030	2026.43039940256	FALSE
119	2024	2020.1544513835	FALSE
120	2018	2013.18125819119	FALSE
121	2011	2005.42735778706	FALSE
122	2001	1996.90796033317	FALSE
123	1999	1987.85472653278	FALSE
124	1966	1978.56489018558	FALSE
125	1964	1969.42054502795	FALSE
126	1963	1960.74144209321	FALSE
127	1948	1952.59292967505	FALSE
128	1933	1945.03154635788	FALSE
129	1932	1938.05068629301	FALSE
130	1929	1931.35455824049	FALSE
131	1928	1924.5765907939	FALSE
132	1922	1917.30565855338	FALSE
133	1920	1909.18672433229	FALSE
134	1897	1900.07415355705	FALSE
135	1894	1889.89693622637	FALSE
136	1888	1878.65933516426	FALSE
137	1870	1866.42314504126	FALSE
138	1858	1853.39797294711	FALSE
139	1850	1839.853807508	FALSE
140	1823	1826.18377947153	FALSE
141	1791	1812.81913300741	FALSE
142	1783	1800.16238833947	FALSE
143.5	1779	1782.32804439183	FALSE
143.5	1779	1782.32804439183	FALSE
145	1763	1765.24823309405	FALSE
146	1762	1753.75741250507	FALSE
147	1748	1741.83683166027	FALSE
148.5	1720	1722.84941381135	FALSE
148.5	1720	1722.84941381135	FALSE
150	1712	1702.25711946723	FALSE
151	1704	1687.53137879141	FALSE
152	1692	1672.03715518382	FALSE
153	1679	1656.15409924449	FALSE
154	1616	1640.36482270278	FALSE
155	1602	1625.29672288784	FALSE
156	1599	1611.46981788885	FALSE
157	1598	1598.95397263869	FALSE
158	1568	1587.70827644474	FALSE
159.5	1566	1572.92176044409	FALSE
159.5	1566	1572.92176044409	FALSE
161	1564	1559.66066095176	FALSE
162	1552	1551.11721315558	FALSE
163.5	1536	1537.98782971804	FALSE
163.5	1536	1537.98782971804	FALSE
165	1535	1523.66567003083	FALSE
166	1531	1513.07976036338	FALSE
167	1508	1501.48827249139	FALSE
168	1505	1488.9801702587	FALSE
169	1461	1475.71507827227	FALSE
170	1454	1461.92253586628	FALSE
171	1428	1447.78918658222	FALSE
172	1423	1433.30151831266	FALSE
173	1419	1418.36886679379	FALSE
174	1404	1402.77840880479	FALSE
175	1394	1386.31641104146	FALSE
176	1381	1368.83790438829	FALSE
177	1375	1350.25282619047	FALSE
178	1331	1330.61923503856	FALSE
179	1326	1310.14936360904	FALSE
180	1290	1289.09909218256	FALSE
181	1252	1267.80540364609	FALSE
182	1237	1246.5700384937	FALSE
183	1214	1225.54856358309	FALSE
184	1210	1204.83537523243	FALSE
185	1182	1184.44714493266	FALSE
186	1158	1164.37867949688	FALSE
187	1141	1144.6123574699	FALSE
188	1129	1125.12131582543	FALSE
189	1119	1105.8515978575	FALSE
190	1087	1086.7671465754	FALSE
191	1067	1067.91320795856	FALSE
192	1046	1049.34723147168	FALSE
193	1033	1031.10920635377	FALSE
194	1005	1013.22232183747	FALSE
195	1000	995.699585241209	FALSE
196	991	978.533087787534	FALSE
197	959	961.725097750257	FALSE
198	952	945.334265257714	FALSE
199	926	929.428919786346	FALSE
200	903	914.078055830073	FALSE
201	901	899.334368891163	FALSE
202	870	885.202361612468	FALSE
203	861	871.656146022148	FALSE
204	851	858.598190490964	FALSE
205	834	845.900461737077	FALSE
206	831	833.365734790022	FALSE
207	810	820.785868573228	FALSE
208	806	807.929699536601	FALSE
209	786	794.54277557088	FALSE
210	783	780.380893732811	FALSE
211.5	760	757.159665092296	FALSE
211.5	760	757.159665092296	FALSE
213	738	730.978301021343	FALSE
214	710	711.667958796053	FALSE
215	697	690.793663398703	FALSE
216	689	668.355551376542	FALSE
217	648	644.412524460026	FALSE
218.5	615	606.028050181939	FALSE
218.5	615	606.028050181939	FALSE
220	608	565.319687575367	FALSE
221	575	537.360691353435	FALSE
222	564	509.146290885837	FALSE
223	463	481.253196137566	FALSE
224	445	454.213560737381	FALSE
225	358	428.44754396975	FALSE
226	234	NA	FALSE
